Geometry X Y;Geometry;N_SQ_AD;N_VOIE;C_SUF1;C_SUF2;C_SUF3;C_AR;A_NVOIE;B_ANGLE;B_OFFSTDF;B_AFFSTDF;B_HORS75;L_NVOIE;L_ADR;N_SQ_AR;N_SQ_VO;OBJECTID
48.8680239005, 2.3336589454;"{""type"": ""Point"", ""coordinates"": [2.33365894540455, 48.86802390051316]}";750005006;30;;;;2;285.98001099;O;O;;N;30;30 AV DE L'OPERA;750000002;750005929;4646
48.870831115, 2.34193739093;"{""type"": ""Point"", ""coordinates"": [2.341937390926284, 48.87083111498587]}";750006228;23;;;;2;167.91999817;O;O;;N;23;23 GAL DES VARIETES;750000002;750005480;4783
48.8637568839, 2.34100184986;"{""type"": ""Point"", ""coordinates"": [2.341001849863409, 48.863756883927444]}";750000265;17;;;;1;37.18000031;N;O;;N;17;17 RUE DU BOULOI;750000001;750005949;4897
48.8704457131, 2.34132568518;"{""type"": ""Point"", ""coordinates"": [2.341325685176476, 48.87044571312453]}";750004118;2;;;;2;260.64001465;O;O;;N;2;2 GAL FEYDEAU;750000002;750005806;9030
48.8691257702, 2.34304452078;"{""type"": ""Point"", ""coordinates"": [2.343044520783836, 48.86912577017413]}";750004758;125;;;;2;109.0;N;O;;N;125;125 RUE MONTMARTRE;750000002;750005645;7658
48.8641743457, 2.34219794266;"{""type"": ""Point"", ""coordinates"": [2.342197942657971, 48.86417434566545]}";750000464;2;;;;1;217.22000122;O;O;;N;2;2 RUE COQ HERON;750000001;750005878;7690
48.867133835, 2.33958402295;"{""type"": ""Point"", ""coordinates"": [2.33958402295155, 48.86713383497594]}";750006325;64;;;;2;345.30999756;N;O;;N;64;64 GAL VIVIENNE;750000002;750005502;8380
48.8630878939, 2.34126268799;"{""type"": ""Point"", ""coordinates"": [2.341262687993574, 48.8630878938523]}";750000435;1;;;;1;160.55000305;O;O;;N;1;1 RUE DU COLONEL DRIANT;750000001;750005957;1179
48.8619267524, 2.33997541495;"{""type"": ""Point"", ""coordinates"": [2.339975414952829, 48.86192675236867]}";750002403;147;;;;1;160.80999756;N;O;;N;147;147 RUE SAINT-HONORE;750000001;750005584;1634
48.8631168115, 2.33823045166;"{""type"": ""Point"", ""coordinates"": [2.338230451657433, 48.86311681153035]}";750002887;6;;;;1;249.27000427;O;O;;N;6;6 PL DE VALOIS;750000001;750005516;1651
48.8711520925, 2.33955717151;"{""type"": ""Point"", ""coordinates"": [2.339557171511346, 48.87115209245965]}";750005527;95;;;;2;72.41999817;O;O;;N;95;95 RUE DE RICHELIEU;750000002;750005602;1696
48.8709772875, 2.33587545847;"{""type"": ""Point"", ""coordinates"": [2.335875458472208, 48.87097728754789]}";750003803;29;;;;2;89.75;O;O;;N;29;29 RUE DE CHOISEUL;750000002;750005912;1816
48.8668319878, 2.33734879222;"{""type"": ""Point"", ""coordinates"": [2.337348792215461, 48.86683198783169]}";750005506;57;;;;2;70.66999817;N;O;;N;57;57 RUE DE RICHELIEU;750000002;750005602;1867
48.8645773139, 2.33832062429;"{""type"": ""Point"", ""coordinates"": [2.33832062429188, 48.864577313884816]}";750002861;154;;;;1;249.1499939;N;O;;N;154;154 GAL DE VALOIS;750000001;750005513;2238
48.8679236522, 2.34383812724;"{""type"": ""Point"", ""coordinates"": [2.343838127244987, 48.86792365217119]}";750004818;122;;;;2;286.17001343;O;O;;N;122;122 RUE MONTMARTRE;750000002;750005645;2240
48.8615648818, 2.34127260277;"{""type"": ""Point"", ""coordinates"": [2.341272602766773, 48.86156488175775]}";750001150;24;;;;1;252.08999634;O;O;;N;24;24 RUE DU LOUVRE;750000001;750005478;7058
48.8667415132, 2.33971213439;"{""type"": ""Point"", ""coordinates"": [2.339712134393742, 48.866741513209746]}";750006279;31;;;;2;70.87999725;N;O;;N;31;31 GAL VIVIENNE;750000002;750005502;7590
48.8661159686, 2.34335168018;"{""type"": ""Point"", ""coordinates"": [2.343351680182089, 48.8661159685978]}";750004513;31;;;;2;71.01999664;N;O;;N;31;31 RUE DU LOUVRE;750000002;750005478;7591
48.8652882061, 2.33657047474;"{""type"": ""Point"", ""coordinates"": [2.336570474735896, 48.86528820614924]}";750001937;33;;;;1;70.43000031;N;O;;N;33;33 RUE DE RICHELIEU;750000001;750005602;42609
48.8690364734, 2.33665986524;"{""type"": ""Point"", ""coordinates"": [2.336659865241959, 48.86903647340218]}";750004193;1;;;;2;85.44999695;O;O;;N;1;1 RUE DE GRAMONT;750000002;750005807;41782
48.8705365235, 2.33912035596;"{""type"": ""Point"", ""coordinates"": [2.3391203559553793, 48.87053652348165]}";750005915;29;;;;2;163.99000549;O;O;;N;29;29 RUE SAINT-MARC;750000002;750005589;42174
48.8671798475, 2.33937810068;"{""type"": ""Point"", ""coordinates"": [2.339378100676735, 48.86717984754783]}";750006328;70;;;;2;338.8500061;N;O;;N;70;70 GAL VIVIENNE;750000002;750005502;42259
48.8683794551, 2.33511297342;"{""type"": ""Point"", ""coordinates"": [2.3351129734213663, 48.86837945514225]}";750004683;1;;;;2;70.08000183;O;O;;N;1;1 RUE MONSIGNY;750000002;750005639;42557
48.8649562646, 2.33852441145;"{""type"": ""Point"", ""coordinates"": [2.338524411451402, 48.86495626456721]}";750002854;140;;;;1;251.86000061;N;O;;N;140;140 GAL DE VALOIS;750000001;750005513;52291
48.866041066, 2.33815000612;"{""type"": ""Point"", ""coordinates"": [2.338150006118735, 48.866041066018994]}";750000147;86;;;;1;340.01998901;N;O;;N;86;86 GAL DE BEAUJOLAIS;750000001;750006026;52390
48.8684538086, 2.3340670284;"{""type"": ""Point"", ""coordinates"": [2.334067028403156, 48.86845380862892]}";750004179;9;;;;2;69.72000122;N;O;;N;9;9 RUE GAILLON;750000002;750005859;52496
48.8689310765, 2.33714065365;"{""type"": ""Point"", ""coordinates"": [2.337140653654475, 48.86893107650042]}";750005605;10;;;;2;359.91000366;N;O;;N;10;10 RUE SAINT-AUGUSTIN;750000002;750005572;52497
48.8679370161, 2.33553583454;"{""type"": ""Point"", ""coordinates"": [2.335535834536017, 48.86793701607277]}";750003770;44;;;;2;251.57000732;N;O;;N;44;44 PAS CHOISEUL;750000002;750005911;52939
48.8676043735, 2.33536777049;"{""type"": ""Point"", ""coordinates"": [2.335367770487715, 48.86760437349976]}";750003760;24;;;;2;251.57000732;N;O;;N;24;24 PAS CHOISEUL;750000002;750005911;49600
48.8670504206, 2.33746479526;"{""type"": ""Point"", ""coordinates"": [2.337464795260343, 48.86705042061405]}";750005508;61;;;;2;70.69000244;N;O;;N;61;61 RUE DE RICHELIEU;750000002;750005602;49744
48.8643897257, 2.34133851631;"{""type"": ""Point"", ""coordinates"": [2.341338516312133, 48.864389725707554]}";750000495;36;;;;1;325.05999756;N;O;;N;36;36 RUE COQUILLIERE;750000001;750005879;53369
48.8677003183, 2.33475248068;"{""type"": ""Point"", ""coordinates"": [2.33475248067569, 48.86770031829952]}";750004660;2;;;;2;340.17999268;O;O;;N;2;2 RUE MARSOLLIER;750000002;750005714;9692
48.863514068, 2.34033980231;"{""type"": ""Point"", ""coordinates"": [2.3403398023109, 48.86351406797557]}";750000444;10;;;;1;340.52999878;O;O;;N;10;10 RUE DU COLONEL DRIANT;750000001;750005957;5249
48.869822182, 2.34092493649;"{""type"": ""Point"", ""coordinates"": [2.340924936487712, 48.869822181971664]}";750003448;12;;;;2;342.76998901;O;O;;N;12;12 PL DE LA BOURSE;750000002;750005955;5278
48.8665289065, 2.34031656022;"{""type"": ""Point"", ""coordinates"": [2.340316560218578, 48.86652890647383]}";750157448;4;;;;2;344.58999634;O;O;;N;4;4 PAS DES PETITS PERES;750000002;750006623;5307
48.8661512726, 2.33909165325;"{""type"": ""Point"", ""coordinates"": [2.339091653250841, 48.86615127257549]}";750157890;1;;;;1;27.12000084;O;O;;N;1;1 PAS DES DEUX PAVILLONS;750000001;750005866;6083
48.8688242374, 2.33771563196;"{""type"": ""Point"", ""coordinates"": [2.337715631962725, 48.86882423741799]}";750005585;5;;;;2;179.44999695;N;O;;N;5;5 RUE SAINT-AUGUSTIN;750000002;750005572;27402
48.8699867258, 2.33863746421;"{""type"": ""Point"", ""coordinates"": [2.338637464212603, 48.869986725788614]}";750164008;85;;P;;2;165.49000549;N;O;;N;85 P;85 P RUE DE RICHELIEU;750000002;750005602;27443
48.867980712, 2.3347574841;"{""type"": ""Point"", ""coordinates"": [2.334757484103586, 48.86798071201017]}";750004665;12;;;;2;250.1499939;N;O;;N;12;12 RUE MARSOLLIER;750000002;750005714;27468
48.8670568649, 2.33511879066;"{""type"": ""Point"", ""coordinates"": [2.335118790659828, 48.867056864855705]}";750001591;9;;;;1;70.51000214;O;O;;N;9;9 RUE DES MOULINS;750000001;750005689;31892
48.8636293404, 2.33444308278;"{""type"": ""Point"", ""coordinates"": [2.334443082776538, 48.86362934044041]}";750002414;167;;;;1;143.07000732;O;O;;N;167;167 RUE SAINT-HONORE;750000001;750005584;26813
48.8664016915, 2.33761336592;"{""type"": ""Point"", ""coordinates"": [2.337613365924614, 48.86640169150366]}";750000178;26;;;;1;340.07000732;O;O;;N;26;26 RUE DE BEAUJOLAIS;750000001;750006029;32294
48.8681530318, 2.33555927367;"{""type"": ""Point"", ""coordinates"": [2.335559273667735, 48.86815303179238]}";750003730;55;;;;2;71.56999969;N;O;;N;55;55 PAS CHOISEUL;750000002;750005911;32371
48.8672493044, 2.34354182925;"{""type"": ""Point"", ""coordinates"": [2.343541829251655, 48.86724930442869]}";750004583;31;;;;2;30.86000061;N;O;;N;31;31 RUE DU MAIL;750000002;750005784;32643
48.8704534143, 2.33973728325;"{""type"": ""Point"", ""coordinates"": [2.339737283251389, 48.87045341425305]}";750005933;25;;;;2;171.47000122;N;O;;N;25;25 RUE SAINT-MARC;750000002;750005589;29762
48.8684451562, 2.34360809955;"{""type"": ""Point"", ""coordinates"": [2.343608099547902, 48.86844515624162]}";750004807;134;;;;2;286.19000244;N;O;;N;134;134 RUE MONTMARTRE;750000002;750005645;29802
48.8649818667, 2.3359069573;"{""type"": ""Point"", ""coordinates"": [2.335906957300189, 48.86498186673621]}";750001289;14;;;;1;229.88999939;N;O;;N;14;14 RUE MOLIERE;750000001;750005634;48105
