Nom,Métier,Rue,Numéro,X,Y,de,à
(170). mely (G.),café limonadier,Rue Réaumur,111,2.3433245246778,48.8681270097057,1921,1921
(3€). agueau (P.),café restaurant,Rue de Choiseul,29,2.3358754584722097,48.8709772875479,1921,1921
Adam-Bolondo (yve),café brasserie,Rue de Hanovre,8,2.33511564392684,48.87022728600229,1881,1881
Adams (Mime),café brasserie,Rue Saint Augustin,41,2.33383922482558,48.86881081588199,1885,1885
Adams (Mme),café brasserie,Rue Saint Augustin,41,2.33383922482558,48.86881081588199,1882,1884
Adams (Vve),café brasserie,Rue de Hanovre,8,2.33511564392684,48.87022728600229,1880,1880
Allais,café brasserie,Rue Notre Dame des Victoires,38,2.34208249849263,48.8687570205197,1871,1877
Arnaut,grand café brasserie du Bouloi,Rue du Bouloi,22,2.34116341773579,48.86370331624829,1884,1884
Aubert,café brasserie,Rue Saint Honoré,143,2.34060703134544,48.8617712375364,1871,1871
Audrain (E.),café Royal,Boulevard Montmartre,12,2.3418123218643396,48.8718654221604,1907,1907
Augendre,ancien café restaurant Véron,Boulevard Montmartre,13,2.34171062006846,48.8715403927468,1907,1907
Bailliez,café Coquillière,Rue Coquillière,31,2.34141118008689,48.8642413243104,1863,1864
Bandel,café brasserie,Rue d'Argout,48,2.3437263542841698,48.865933024033396,1874,1874
Banide,café limonadier,Rue Notre Dame des Victoires,54,2.3425868016638596,48.8698867890275,1922,1922
Barraud (Mme),cafés,Rue Jocquelet,2,2.3430511930503704,48.8686128238784,1862,1862
Bartholin (Gaston),café Gambrinus,Rue du Quatre Septembre,6,2.33921075812756,48.869181223714,1914,1921
Battut,café bar,Rue Réaumur,126,2.34394149106355,48.8681988231732,1914,1922
Beaucamps,café estaminet,Rue Feydeau,24,2.3402844927148796,48.8699420874701,1850,1850
Beicher,café restaurant,Rue Saint Marc,4,2.34223410724945,48.870309251334,1856,1861
Belle (Louis),café du Commerce,Boulevard Montmartre,2,2.34288168058029,48.8716940906852,1862,1864
Bellenger,café restaurant,Boulevard des Italiens,16,2.3378541112830096,48.8717780036559,1850,1853
Benoit (A.),grand café restaurant Saint Roch,Avenue de l'Opéra,31,2.33345658765168,48.8674494024512,1882,1888
Bessière frères,café du Vaudeville et tabac,Rue Vivienne,29,2.34016715898938,48.8692325453552,1921,1921
Bigey,café de Belfort,Rue Coquillière,34,2.34147099721944,48.8643286597879,1876,1876
Bignon (J.),café restaurant,Boulevard des Italiens,38,2.33443320580307,48.8711867571037,1857,1858
Bignon (Jules) jcune NC,café restaurant,Boulevard des Italiens,38,2.33443320580307,48.8711867571037,1870,1870
Bignon (Jules) jcune NCH,café restaurant,Boulevard des Italiens,38,2.33443320580307,48.8711867571037,1871,1871
Bignon (Jules) jeune NC),café restaurant,Boulevard des Italiens,38,2.33443320580307,48.8711867571037,1873,1873
Bignon (Louis) ainé,café restaurant,Boulevard des Italiens,16,2.3378541112830096,48.8717780036559,1860,1860
Bignon jeune,café restaurant,Boulevard des Italiens,38,2.33443320580307,48.8711867571037,1859,1860
Bignon jeune NC),café restaurant,Boulevard des Italiens,38,2.33443320580307,48.8711867571037,1863,1863
Binding (F.),café estaminet,Boulevard des Italiens,11,2.33795998769667,48.8714479414307,1853,1864
Boin fils NC,café du Cardinal,Boulevard des Italiens,1,2.33980022831032,48.8717662905375,1859,1863
Boin fils NC.,café du Cardinal,Boulevard des Italiens,1,2.33980022831032,48.8717662905375,1860,1860
"Bolondo (M""le)",café brasserie,Rue de Hanovre,8,2.33511564392684,48.87022728600229,1875,1875
Bolondo (M.),café brasserie,Rue de Hanovre,8,2.33511564392684,48.87022728600229,1870,1873
Bolondo (Mlle),café brasserie,Rue de Hanovre,8,2.33511564392684,48.87022728600229,1876,1877
Bolondo et Hubert-Adams (Mmes),café brasserie,Rue de Hanovre,8,2.33511564392684,48.87022728600229,1878,1878
Bommard,café glacier Napolitain,Boulevard des Capucines,1,2.3339630975787102,48.87076285656671,1886,1886
Bonnard,café glacier Napolitain,Boulevard des Capucines,1,2.3339630975787102,48.87076285656671,1881,1890
Bonnely (G.),café limonadier,Rue Réaumur,111,2.3433245246778,48.8681270097057,1922,1922
Bonnetuit,café Coquillière,Rue Coquillière,33,2.34124309745105,48.8643167986892,1847,1848
Bonrru (M.),café du Timbre,Rue de la Banque,14,2.34084616070302,48.8675580709188,1862,1862
Boudet,café du Progrès,Rue Notre Dame des Victoires,54,2.3425868016638596,48.8698867890275,1921,1922
Boulant,café restaurant,Boulevard Montmartre,1,2.3428170122307597,48.87136756754379,1897,1897
Boulassier,café brasserie,Rue Sainte Anne,44,2.3361004552121805,48.8673145414952,1922,1922
Boulay,cafés,Rue Saint Marc,21,2.3399608469171898,48.8704312850846,1887,1887
Bounaix,café restaurant,Rue Jean Jacques Rousseau,14,2.34053675153603,48.8624615952542,1881,1881
Bounaix,café restaurant du Loiret,Rue Jean Jacques Rousseau,16,2.3407446280185495,48.8625680973142,1879,1883
Bounaix (C.),café restaurant du Loiret,Rue Jean Jacques Rousseau,14,2.34053675153603,48.8624615952542,1885,1885
Bounaix (Clément),café restaurant du Loiret,Rue Jean Jacques Rousseau,14,2.34053675153603,48.8624615952542,1887,1888
Bounaix(C.),café restaurant du Loiret,Rue Jean Jacques Rousseau,14,2.34053675153603,48.8624615952542,1884,1884
Bounaix(Clément),café restaurant du Loiret,Rue Jean Jacques Rousseau,14,2.34053675153603,48.8624615952542,1886,1886
Bourdarie et Cie,café Garen,Boulevard Montmartre,12,2.3418123218643396,48.8718654221604,1888,1888
Bourdarie et Cle,café Garen,Boulevard Montmartre,12,2.3418123218643396,48.8718654221604,1887,1887
Bourdier (Louis),café restaurant Mazarin,Boulevard Montmartre,16,2.3413811889097103,48.8719321316918,1893,1894
Bourgeon,café de Bade,Boulevard des Italiens,26,2.33616813213666,48.871487896588896,1880,1881
Bourgès-Drouhin,café en gros,Rue Saint Honoré,150,2.34033923610895,48.861972117712,1876,1878
Bourra (M.),café du Timbre,Rue de la Banque,14,2.34084616070302,48.8675580709188,1863,1864
Bourru (M),café du Timbre,Rue de la Banque,14,2.34084616070302,48.8675580709188,1861,1861
Bourru (M.),café du Timbre,Rue de la Banque,14,2.34084616070302,48.8675580709188,1855,1860
Branchard,café restaurant,Rue Feydeau,24,2.3402844927148796,48.8699420874701,1870,1870
Brand'huy (P.),café du Grand Comptoir de la Bourse,Rue Vivienne,27,2.3400947666661,48.8690997783828,1921,1922
Brennetuit,café Coquillière,Rue Coquillière,33,2.34124309745105,48.8643167986892,1848,1851
Brenu,café,Rue Neuve Saint Augustin,29,2.3351824776985,48.8688268452901,1855,1862
Breton (Jules),café de Francfort,Rue Coquillière,34,2.34147099721944,48.8643286597879,1873,1874
