,NOM,NOM_ENTIER,WKT,date_constr,date_fin,date_fin_format,date_nom,date_nom_format,date_ordre,id_propre,n_sq_vo,note,source,source_constr,source_constr_ID,source_fin,source_fin_ID,source_nom,source_nom_ID,source_ordre,source_ordre_ID,temp_loc,TYPE
0,OPERA,Avenue de l'Opéra,"LINESTRING (2.33361169639232 48.8676556736203,2.33324708146046 48.8684612077437,2.33324379188344 48.8685262874848,2.33317824536324 48.8686063937645,2.33314170524993 48.8686996472326)",1876.0,2020,2020/01/01,1876,1876/01/01,1853,750604242,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
1,OPERA,Avenue de l'Opéra,"LINESTRING (2.33291333353879 48.8692320114759,2.33288178785178 48.8692522165615,2.33287406720101 48.8693234662238,2.33257069860309 48.8700242612155,2.33249570792395 48.8701984484977)",1864.0,2020,2020/01/01,1873,1873/01/01,1853,750603703,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
2,NAPOLEON,Avenue Napoléon,"LINESTRING (2.33291333353879 48.8692320114759,2.33288178785178 48.8692522165615,2.33287406720101 48.8693234662238,2.33257069860309 48.8700242612155,2.33249570792395 48.8701984484977)",1864.0,1873,1873/01/01,1864,1864/01/01,1853,750603703,750005929,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,1,AVENUE
3,OPERA,Avenue de l'Opéra,"LINESTRING (2.33411989943145 48.8664283814823,2.33379146704148 48.8672123804122)",1876.0,2020,2020/01/01,1876,1876/01/01,1853,750604626,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
4,OPERA,Avenue de l'Opéra,"LINESTRING (2.33557669821598 48.8632676219575,2.33534760741065 48.8636101622256)",1867.0,2020,2020/01/01,1873,1873/01/01,1853,750606006,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
5,NAPOLEON,Avenue Napoléon,"LINESTRING (2.33557669821598 48.8632676219575,2.33534760741065 48.8636101622256)",1867.0,1873,1873/01/01,1867,1867/01/01,1853,750606006,750005929,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,1,AVENUE
6,OPERA,Avenue de l'Opéra,"LINESTRING (2.33517721750195 48.863961498114,2.33515934562237 48.8640132965397,2.33515934605315 48.8640134764114,2.33500341567763 48.8643611338936)",1867.0,2020,2020/01/01,1873,1873/01/01,1853,750605739,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
7,NAPOLEON,Avenue Napoléon,"LINESTRING (2.33517721750195 48.863961498114,2.33515934562237 48.8640132965397,2.33515934605315 48.8640134764114,2.33500341567763 48.8643611338936)",1867.0,1873,1873/01/01,1867,1867/01/01,1853,750605739,750005929,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,1,AVENUE
8,OPERA,Avenue de l'Opéra,"LINESTRING (2.33379146704148 48.8672123804122,2.3337568522396 48.8672949957556,2.33367532276686 48.8675161169086)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750604383,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
9,OPERA,Avenue de l'Opéra,"LINESTRING (2.33314170524993 48.8686996472326,2.33310244023014 48.8687907423651,2.33301235901544 48.869003373015)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750603897,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
10,OPERA,Avenue de l'Opéra,"LINESTRING (2.33470780876998 48.8650757384462,2.33411989943145 48.8664283814823)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750605172,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
11,OPERA,Avenue de l'Opéra,"LINESTRING (2.33534760741065 48.8636101622256,2.33528707187742 48.8637183448285,2.33517721750195 48.863961498114)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750605888,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
