n_sq_vo,NOM_ENTIER,TYPE,NOM,WKT,id_propre,date_nom,date_fin
0,Impasse Saint Claude,IMPASSE,SAINT CLAUDE,"LINESTRING (2.34373078736353 48.8664368913173,2.34375232469464 48.8664404870431,2.34381391506048 48.8664644069217)",TR2140,1802,2020
0,Impasse Saint Pierre,IMPASSE,SAINT PIERRE,"LINESTRING (2.34366952697704 48.8680412015817,2.34358214937475 48.8680364409095,2.34351344688028 48.8680327581481,2.34341639096862 48.8680273684543,2.3434159821557 48.8680283576816,2.34334796126358 48.8680247647065,2.34331974417832 48.8680232376383,2.34330652172523 48.8680228787221,2.34302189762593 48.868010035807)",TR2312,1640,2020
0,Impasse de la Brasserie,IMPASSE,BRASSERIE,"LINESTRING (2.33504011232187 48.863980272158,2.33508179431604 48.8639980114431,2.33524467329134 48.8640675272352,2.33541055135249 48.8641380320249,2.33558719768244 48.8642134826679,2.33563871963134 48.8642354253553)",TR2071,1867,2020
0,Petite-Rue Saint Pierre,PETITE RUE,SAINT PIERRE,"LINESTRING (2.34378044875237 48.8677664660456,2.34369225341886 48.8677592774679,2.34356316385104 48.8677487640569,2.34343830008962 48.8677386998791,2.34336073735878 48.8677324096699,2.34323164793074 48.8677218958842,2.34317071560576 48.8677173131805,2.34265190511716 48.867677054986,2.34214986192394 48.8676370633828,2.34187696233213 48.8676154041355,2.34160079145774 48.8675934746011,2.34152445602077 48.8675874528721)",TR2270,1666,2020
0,Rue Baillif,RUE,BAILLIF,"LINESTRING (2.33943369069248 48.8646464480446,2.33953782856687 48.8646747724411,2.33969689828354 48.8647226094621,2.33986346424509 48.864756327423,2.34000508484614 48.8647595605011,2.34010799438472 48.8647533522615,2.34020694960685 48.8647244823329,2.34029023001562 48.8647001991474,2.34041221999609 48.8646646736318)",TR2026,1803,1912
0,Rue Clos Georgeot,RUE,CLOS GEORGEOT,"LINESTRING (2.33496425784439 48.8650667981402,2.33502191613977 48.865038651576,2.33514486596537 48.8649731858444,2.33528049165923 48.8649125761963,2.33528103687595 48.8649126661294,2.33538926454759 48.8648652754072,2.33552475372386 48.8647918957649,2.33555583162545 48.8647765184142)",TR1903,1620,1876
0,Rue Jeannisson,RUE,JEANNISSON,"LINESTRING (2.33602064373417 48.8640928024627,2.3358637608576 48.8640252662134,2.33580324316176 48.8639992768395,2.33571287564243 48.863960337685,2.33559838305938 48.8639110566192,2.33549084200266 48.8638652826696,2.33537634985535 48.8638160913087,2.33526880921131 48.8637702272226,2.3351510365676 48.8637196300852)",TR1910,1836,1866
0,Rue Mercier,RUE,MERCIER,"LINESTRING (2.34127937315096 48.8629089860496,2.34143543435873 48.8628900945833,2.34170721322562 48.8628671509072,2.34194639877693 48.8628425878861)",TR1813,1765,2020
0,Rue Neuve de Montmorency,RUE,NEUVE DE MONTMORENCY,"LINESTRING (2.34125452115712 48.8703488679711,2.34123652076566 48.8702763871677,2.34122097558805 48.8702205428449,2.34120952023117 48.8701671263923,2.34119383879881 48.8701112820716,2.34117802024452 48.8700454558029,2.34116765659459 48.8700048090048)",TR2457,1782,2020
0,Rue Neuve des Bons Enfants,RUE,NEUVE DES BONS ENFANTS,"LINESTRING (2.33962609310686 48.8661087537195,2.33958628711672 48.8660320466707,2.33955888648088 48.8659790801284,2.33950558507553 48.8658792620532,2.3394776393262 48.8658252163763,2.33944955733028 48.865771170696,2.33939625636703 48.8656713525701,2.33935454260275 48.8655907786081,2.33931269266282 48.8655101147069,2.33920609205877 48.8653104783031,2.33917542060837 48.8652512168238,2.33917187660043 48.8652499579234,2.33914106892238 48.8651906964382,2.33913956943579 48.8651878187939,2.33913534361543 48.8651798153468,2.33913411671388 48.8651763082036,2.33912075780334 48.8651539165719,2.33906732171382 48.8650506810519,2.33902683569744 48.864968847958,2.33898648611555 48.8648869249192,2.3389329142903 48.8647837792671,2.33893768466794 48.8647764950373,2.33893945651192 48.8647735273918,2.33912387458153 48.8647261314502,2.33943369069248 48.8646464480446)",TR2048,1640,1912
0,Rue Pierre-Lescot,RUE,PIERRE LESCOT,"LINESTRING (2.33752448054137 48.861764655777,2.33755688627109 48.8618252765138,2.33758291950272 48.8618766248526,2.33760908908487 48.8619279731841,2.33763525872103 48.8619793215096,2.33769005150381 48.8620819281888,2.3376911418752 48.8620814785396,2.33771962880949 48.8621382224698,2.33777605755632 48.8622436168418,2.33780468097955 48.8623004506767,2.33783330446667 48.8623571945771,2.33786015603185 48.8624074637133,2.3378887796438 48.8624642075999,2.33791563132444 48.8625145666506,2.3379360768243 48.8625540445528)",TR1764,1807,2020
0,Rue Soly,RUE,SOLY,"LINESTRING (2.34273698591815 48.8655013447193,2.3427777390662 48.8654796699473,2.34287887232439 48.8654274164366,2.34297945984268 48.865372644898,2.34308045636538 48.8653203912169,2.3431811797513 48.8652656194929,2.34319269398992 48.8652596866665)",TR2023,1548,1880
0,Rue d'Argout,RUE,ARGOUT,"LINESTRING (2.34246353935908 48.8653594538549,2.34252051274897 48.8653360696983,2.34256249302259 48.8653180819648,2.34258348282514 48.8653062104128,2.34262546305081 48.8652882226562,2.34272564179401 48.8652347103482,2.34275112949976 48.8652218493161,2.34280455855325 48.8651976558657,2.34286889143578 48.8651686056946,2.34296893337079 48.865115093181,2.34300818721916 48.8650973752217,2.34308722758073 48.8650551518688)",TR2025,1867,2020
0,Rue d'Orléans,RUE,ORLEANS,"LINESTRING (2.34135811772032 48.861701573331,2.34132519875406 48.8616740999284)",TR1737,1200,1888
0,Rue de l'Anglade,RUE,ANGLADE,"LINESTRING (2.3349835066815 48.8643325404637,2.33492884890358 48.8643355972798,2.33488784863304 48.8643380461568)",TR2979,1663,1866
0,Rue des Bons Enfants,RUE,BONS ENFANTS,"LINESTRING (2.33846888558632 48.8631623059096,2.33849110384296 48.863206729693,2.33851386749674 48.8632562793289,2.33854549103898 48.8633157208219,2.33856825479679 48.863365270447,2.33859987847327 48.8634247119249,2.33869556816857 48.8636149067184,2.33878825938147 48.8637891843287,2.33890930274785 48.8639794683512,2.33901153731682 48.8641717310727,2.3390805120099 48.8643012250874,2.33920155773981 48.8644915088012,2.33924068019389 48.8645639894075,2.33933282449757 48.8646236989749,2.33943369069248 48.8646464480446)",TR2101,1640,1912
0,Rue des Vieux-Augustins,RUE,VIEUX AUGUSTINS,"LINESTRING (2.34246353935908 48.8653594538549,2.34252051274897 48.8653360696983,2.34256249302259 48.8653180819648,2.34258348282514 48.8653062104128,2.34262546305081 48.8652882226562,2.34272564179401 48.8652347103482,2.34275112949976 48.8652218493161,2.34280455855325 48.8651976558657,2.34286889143578 48.8651686056946,2.34296893337079 48.865115093181,2.34300818721916 48.8650973752217,2.34308722758073 48.8650551518688)",TR2025,1300,1867
750004619,Rue Laffitte,RUE,LAFFITTE,"LINESTRING (2.33709635492445 48.8714745953434,2.33717006540571 48.8716400343107,2.33729427935883 48.8719937687523)",750602957,1830,2020
750004646,Rue Le Peletier,RUE,PELETIER,"LINESTRING (2.33804395277802 48.8716373275263,2.33826252067453 48.8721456243916)",750602898,1786,2020
750004662,Rue des Italiens,RUE,ITALIENS,"LINESTRING (2.33595479038112 48.8712784636753,2.33576029848376 48.8717531844656)",750603020,1911,2020
750004686,Passage Jouffroy,PASSAGE,JOUFFROY,"LINESTRING (2.34185933557421 48.8716856184305,2.34201157889282 48.8720747226398)",750602884,1845,2020
750004718,Rue du Helder,RUE,HELDER,"LINESTRING (2.33473474173064 48.871069937108,2.33476982238042 48.8712874991963,2.33485919314081 48.8716118582015)",750603104,1775,2020
750004790,Rue du Faubourg Montmartre,RUE,FAUBOURG MONTMARTRE,"LINESTRING (2.34306893682108 48.871488883707,2.34315320078729 48.8718895976076)",750602947,1840,2020
750004824,Rue Drouot,RUE,DROUOT,"LINESTRING (2.34004423330594 48.8719808237186,2.34022957649514 48.8723636915647)",750602782,1704,2020
750005487,Rue de Ventadour,RUE,VENTADOUR,"LINESTRING (2.33411989943145 48.8664283814823,2.3342203506365 48.8666010353381,2.33459946086122 48.8672972792465)",750604625,1673,2020
750005488,Passage Vérité,PASSAGE,VERITE,"LINESTRING (2.33821769611164 48.863232135316,2.33847350207625 48.8631626891161)",750606053,1796,2020
750005489,Galerie Véro-Dodat,GALERIE,VERO DODAT,"LINESTRING (2.34075009746365 48.8626304081342,2.34068794702648 48.862652082678,2.34068794725141 48.862652172614,2.33970661425107 48.8629915909425,2.33953567069946 48.8630491043408)",750606305,1826,2020
750005497,Rue Vide-Gousset,RUE,VIDE GOUSSET,"LINESTRING (2.34136484842848 48.8659296611871,2.34148791824209 48.866048432224,2.3412877020101 48.8662814424006)",750604855,1800,2020
750005498,Rue Villedo,RUE,VILLEDO,"LINESTRING (2.33695594714974 48.865890179525,2.3362940318361 48.8662626599554,2.33572657253368 48.8665621161289,2.33572657148865 48.8665623049855,2.33568227067548 48.8665855868562)",750604865,1655,2020
750005512,Rue d'Uzès,RUE,UZES,"LINESTRING (2.34356396361328 48.8707299459245,2.34296511786496 48.8708396944282,2.34284713387413 48.8708612649392)",750603322,1870,2020
750005513,Galerie de Valois,GALERIE,VALOIS,"LINESTRING (2.33904745766415 48.8660152400398,2.3390270096618 48.8659759426622,2.33797058473392 48.8640094266806,2.33788911423863 48.8638795815976)",750605776,1781,2020
750005514,Passage de Valois,PASSAGE,VALOIS,"LINESTRING (2.33788911423863 48.8638795815976,2.33810347586268 48.8638250105434)",750605802,1781,2020
750005529,Passage Sainte-Anne,PASSAGE,SAINTE ANNE,"LINESTRING (2.33629740266981 48.8679266694878,2.33556038059743 48.8680697767106)",750604160,1829,2020
750005601,Passage de Bretagne,PASSAGE,BRETAGNE,"LINESTRING (2.33669935663824 48.8646309257873,2.33634766367497 48.8647143249504)",750605399,1787,1877
750005601,Passage de Richelieu,PASSAGE,RICHELIEU,"LINESTRING (2.33669935663824 48.8646309257873,2.33634766367497 48.8647143249504)",750605399,1877,2020
750005606,Rue de Rohan,RUE,ROHAN,"LINESTRING (2.33527797425034 48.8627241871595,2.33557669821598 48.8632676219575)",750606262,1781,2020
750005634,Rue Molière,RUE,MOLIERE,"LINESTRING (2.33500341567763 48.8643611338936,2.33663985267362 48.8656108657426)",750605532,1867,2020
750005634,Rue de la Fontaine Molière,RUE,FONTAINE MOLIERE,"LINESTRING (2.33500341567763 48.8643611338936,2.33663985267362 48.8656108657426)",750605532,1843,1867
750005640,Rue Montesquieu,RUE,MONTESQUIEU,"LINESTRING (2.33953567069946 48.8630491043408,2.3393582336726 48.8630139030268,2.33847350207625 48.8631626891161)",750606134,1802,2020
750005648,Galerie de Montpensier,GALERIE,MONTPENSIER,"LINESTRING (2.33666712385726 48.8641340759388,2.33779342877757 48.8663105023731)",750605649,1781,2020
750005649,Passage de Montpensier,PASSAGE,MONTPENSIER,"LINESTRING (2.33646527196486 48.8641748134785,2.33666712385726 48.8641340759388)",750605650,1781,2020
750005655,Passage du Perron,PASSAGE,PERRON,"LINESTRING (2.33848742016234 48.8659356746491,2.3385699454148 48.8661047821849,2.33856356811848 48.8661326149361)",750604851,1836,2020
750005671,Rue Neuve-des-Bons-Enfants,RUE,NEUVE DES BONS ENFANTS,"LINESTRING (2.3391955900334 48.8652584964881,2.33940688352978 48.8656539025741,2.33951675683843 48.865849762152,2.33963181123158 48.8660418441502,2.33967015776609 48.8661060243113)",750605086,1640,1867
750005671,Rue Radziwill,RUE,RADZIWILL,"LINESTRING (2.3391955900334 48.8652584964881,2.33940688352978 48.8656539025741,2.33951675683843 48.865849762152,2.33963181123158 48.8660418441502,2.33967015776609 48.8661060243113)",750605086,1867,2020
750005682,Rue du Pélican,RUE,PELICAN,"LINESTRING (2.34031147228546 48.8623949036265,2.33980881707017 48.8625913210789,2.3396410362865 48.8626541852183,2.33954114498398 48.8626900872384,2.33948053402058 48.8627050074599,2.33939643805235 48.8627199464101)",750606410,1806,2020
750005689,Rue des Moulins,RUE,MOULINS,"LINESTRING (2.33485160783651 48.8664013166518,2.33524948190728 48.867143349552)",750604630,1624,2020
750005693,Galerie de Nemours,GALERIE,NEMOURS,"LINESTRING (2.33645930009968 48.863067248974,2.33657760644616 48.8632962131629,2.33643759942131 48.863326131686)",750606099,1829,2020
750005708,Rue Méhul,RUE,MEHUL,"LINESTRING (2.33459946086122 48.8672972792465,2.33464464745609 48.8673383579779,2.33474429658046 48.8675111110976,2.33477837191547 48.8675700132618)",750604360,1826,2020
750005709,Rue Ménars,RUE,MENARS,"LINESTRING (2.33883535278753 48.8694715177151,2.33872125467569 48.8694696319181,2.33810360131478 48.8694593910037,2.33801921953211 48.8694523771352)",750603658,1765,2020
750005714,Rue Marsollier,RUE,MARSOLLIER,"LINESTRING (2.33477837191547 48.8675700132618,2.33475191195337 48.8675969013726,2.33475191281211 48.8675972611149,2.33453381030871 48.8676535527119,2.33451336197165 48.8676678510029,2.33450490967276 48.8676860157195,2.33450654526414 48.8677070586675,2.33478432796792 48.8682102972067,2.33480477379923 48.8682268445413,2.33483449029294 48.8682305315206,2.335028739319 48.8681866500131,2.33502969337081 48.8681865599832,2.33510712004455 48.868189528971)",750604273,1829,2020
750005730,Rue Jocquelet,RUE,JOCQUELET,"LINESTRING (2.34342150250331 48.8685842853749,2.34325969567996 48.8685724247775,2.34253967356892 48.8685192283683,2.3424775126348 48.8685064615868,2.34226199422545 48.8684616890053)",750603977,1622,1898
750005730,Rue Léon Cladel,RUE,LEON CLADEL,"LINESTRING (2.34342150250331 48.8685842853749,2.34325969567996 48.8685724247775,2.34253967356892 48.8685192283683,2.3424775126348 48.8685064615868,2.34226199422545 48.8684616890053)",750603977,1898,2020
750005741,Rue de l'Oratoire,RUE,ORATOIRE,"LINESTRING (2.33981378341625 48.8612468150859,2.3398973362346 48.8613182237903,2.34044677469834 48.861790136476,2.34044677492287 48.8617902264121,2.34052610536115 48.8618643237959)",750606858,1664,2020
